LOINC_NUM	SYSTEM	SCALE_TYP	SOURCE	SURVEY_QUEST_SRC	UNITSREQUIRED	SHORTNAME	EXAMPLE_UCUM_UNITS
10016-4	Heart	Qn	CH		Y	R' wave Amp L-V1	
1001-7	Ser/Plas^donor	Ord	FS			DBG Ab SerPl Donr Ql	
10017-2	Heart	Qn	CH		Y	R' wave Amp L-V2	
10018-0	Heart	Qn	CH		Y	R' wave Amp L-V3	
10019-8	Heart	Qn	CH		Y	R' wave Amp L-V4	
10020-6	Heart	Qn	CH		Y	R' wave Amp L-V5	
10021-4	Heart	Qn	CH		Y	R' wave Amp L-V6	
10022-2	Heart	Qn	CH		Y	R' wave dur L-AVF	
10023-0	Heart	Qn	CH		Y	R' wave dur L-AVL	
10024-8	Heart	Qn	CH		Y	R' wave dur L-AVR	
1002-5	Ser/Plas	Ord	FS			DBG Ab SerPl Ql	
10025-5	Heart	Qn	CH		Y	R' wave dur L-I	
10026-3	Heart	Qn	CH		Y	R' wave dur L-II	
10027-1	Heart	Qn	CH		Y	R' wave dur L-III	
10028-9	Heart	Qn	CH		Y	R' wave dur L-V1	
10029-7	Heart	Qn	CH		Y	R' wave dur L-V2	
10030-5	Heart	Qn	CH		Y	R' wave dur L-V3	
10031-3	Heart	Qn	CH		Y	R' wave dur L-V4	
10032-1	Heart	Qn	CH		Y	R' wave dur L-V5	
1003-3	Ser/Plas	Ord	SH			IAT Comp-Sp Reag SerPl Ql	
10033-9	Heart	Qn	CH		Y	R' wave dur L-V6	
10034-7	Heart	Qn	CH		Y	S wave Amp L-AVF	
10035-4	Heart	Qn	CH		Y	S wave Amp L-AVL	
10036-2	Heart	Qn	CH		Y	S wave Amp L-AVR	
10037-0	Heart	Qn	CH		Y	S wave Amp L-I	
10038-8	Heart	Qn	CH		Y	S wave Amp L-II	
10039-6	Heart	Qn	CH		Y	S wave Amp L-III	
10040-4	Heart	Qn	CH		Y	S wave Amp L-V1	
1004-1	RBC	Ord	SH			DAT Comp-Sp Reag RBC Ql	
10041-2	Heart	Qn	CH		Y	S wave Amp L-V2	
10042-0	Heart	Qn	CH		Y	S wave Amp L-V3	
10043-8	Heart	Qn	CH		Y	S wave Amp L-V4	
10044-6	Heart	Qn	CH		Y	S wave Amp L-V5	
10045-3	Heart	Qn	CH		Y	S wave Amp L-V6	
10046-1	Heart	Qn	CH		Y	S wave dur L-AVF	
10047-9	Heart	Qn	CH		Y	S wave dur L-AVL	
10048-7	Heart	Qn	CH		Y	S wave dur L-AVR	
10049-5	Heart	Qn	CH		Y	S wave dur L-I	
10050-3	Heart	Qn	CH		Y	S wave dur L-II	
10051-1	Heart	Qn	CH		Y	S wave dur L-III	
10052-9	Heart	Qn	CH		Y	S wave dur L-V1	
10053-7	Heart	Qn	CH		Y	S wave dur L-V2	
10054-5	Heart	Qn	CH		Y	S wave dur L-V3	
10055-2	Heart	Qn	CH		Y	S wave dur L-V4	
10056-0	Heart	Qn	CH		Y	S wave dur L-V5	
10057-8	Heart	Qn	CH		Y	S wave dur L-V6	
1005-8	Ser/Plas	Ord	SH			IAT IgG-Sp Reag SerPl Ql	
10058-6	Heart	Qn	CH		Y	S' wave Amp L-AVF	
10059-4	Heart	Qn	CH		Y	S' wave Amp L-AVL	
10060-2	Heart	Qn	CH		Y	S' wave Amp L-AVR	
10061-0	Heart	Qn	CH		Y	S' wave Amp L-I	
10062-8	Heart	Qn	CH		Y	S' wave Amp L-II	
10063-6	Heart	Qn	CH		Y	S' wave Amp L-III	
10064-4	Heart	Qn	CH		Y	S' wave Amp L-V1	
10065-1	Heart	Qn	CH		Y	S' wave Amp L-V2	
1006-6	RBC	Nom	SH			DAT IgG-Sp Reag RBC-Imp	
10066-9	Heart	Qn	CH		Y	S' wave Amp L-V3	
10067-7	Heart	Qn	CH		Y	S' wave Amp L-V4	
10068-5	Heart	Qn	CH		Y	S' wave Amp L-V5	
10069-3	Heart	Qn	CH		Y	S' wave Amp L-V6	
10070-1	Heart	Qn	CH		Y	S' wave dur L-AVF	
10071-9	Heart	Qn	CH		Y	S' wave dur L-AVL	
10072-7	Heart	Qn	CH		Y	S' wave dur L-AVR	
10073-5	Heart	Qn	CH		Y	S' wave dur L-I	
1007-4	RBC	Ord	SH			DAT Poly-Sp Reag RBC Ql	
10074-3	Heart	Qn	CH		Y	S' wave dur L-II	
10075-0	Heart	Qn	CH		Y	S' wave dur L-III	
10076-8	Heart	Qn	CH		Y	S' wave dur L-V1	
10077-6	Heart	Qn	CH		Y	S' wave dur L-V2	
10078-4	Heart	Qn	CH		Y	S' wave dur L-V3	
10079-2	Heart	Qn	CH		Y	S' wave dur L-V4	
100-8	Isolate	OrdQn	SH			Cefoperazone Islt MIC	
10080-0	Heart	Qn	CH		Y	S' wave dur L-V5	
10081-8	Heart	Qn	CH		Y	S' wave dur L-V6	
1008-2	Ser/Plas	Ord	SH			IAT Poly-Sp Reag SerPl Ql	
10082-6	Heart	Qn	CC		Y	ST I-Amp 6ms L-AVF	
10083-4	Heart	Qn	CC		Y	ST I-Amp 6ms L-AVL	
10084-2	Heart	Qn	CC		Y	ST I-Amp 6ms L-AVR	
10085-9	Heart	Qn	CC		Y	ST I-Amp 6ms L-I	
10086-7	Heart	Qn	CC		Y	ST I-Amp 6ms L-II	
10087-5	Heart	Qn	CC		Y	ST I-Amp 6ms L-III	
10088-3	Heart	Qn	CC		Y	Deprecated ST initial amp 6 ms.lead	
10089-1	Heart	Qn	CC		Y	ST I-Amp 6ms L-V2	
1009-0	RBC	Ord	SH			Deprecated DAT Poly-Sp Reag RBC Ql	
10090-9	Heart	Qn	CC		Y	ST I-Amp 6ms L-V3	
10091-7	Heart	Qn	CC		Y	ST I-Amp 6ms L-V4	
10092-5	Heart	Qn	CC		Y	ST I-Amp 6ms L-V5	
10093-3	Heart	Qn	CC		Y	ST I-Amp 6ms L-V6	
10094-1	Heart	Qn	CC		Y	ST Slope L-AVF	
10095-8	Heart	Qn	CC		Y	ST Slope L-AVL	
10096-6	Heart	Qn	CC		Y	ST Slope L-AVR	
10097-4	Heart	Qn	CC		Y	ST Slope L-I	
10098-2	Heart	Qn	CC		Y	ST Slope L-II	
10099-0	Heart	Qn	CC		Y	ST Slope L-III	
10100-6	Heart	Qn	CC		Y	ST Slope L-V1	
10101-4	Heart	Qn	CC		Y	ST Slope L-V2	
10102-2	Heart	Qn	CC		Y	ST Slope L-V3	
10103-0	Heart	Qn	CC		Y	ST Slope L-V4	
10104-8	Heart	Qn	CC		Y	ST Slope L-V5	
10000-8	Heart	Qn	CH		Y	R wave dur L-AVR	
10001-6	Heart	Qn	CH		Y	R wave dur L-I	
10002-4	Heart	Qn	CH		Y	R wave dur L-II	
